campaign_id,stream_id,experiment_id,lot,reactor,replicate_group,matrix,temperature_program,nutrient_program,execution_status,data_status,raw_location,notes
pilot_2025,paired_vintage,25026,,,pair_1,natural_grape_must,measured_profile,recorded_nutrition,complete,workbook_homologated,fermentation_model/data/Piloto 2025/Calibration_data_vl3.xlsx,Paired with 25027.
pilot_2025,paired_vintage,25027,,,pair_1,natural_grape_must,measured_profile,recorded_nutrition,complete,workbook_homologated,fermentation_model/data/Piloto 2025/Calibration_data_vl3.xlsx,Paired with 25026.
pilot_2025,paired_vintage,25085,,,pair_2,natural_grape_must,measured_profile,recorded_nutrition,complete,workbook_homologated,fermentation_model/data/Piloto 2025/Calibration_data_vl3.xlsx,Paired with 25086.
pilot_2025,paired_vintage,25086,,,pair_2,natural_grape_must,measured_profile,recorded_nutrition,complete,workbook_homologated,fermentation_model/data/Piloto 2025/Calibration_data_vl3.xlsx,Paired with 25085.
pilot_2025,paired_vintage,25150,,,pair_3,natural_grape_must,measured_profile,recorded_nutrition,complete,workbook_and_co2_sensor,fermentation_model/data/Piloto 2025/Calibration_data_vl3.xlsx,Paired with 25151; CO2 sensor workbook is also present.
pilot_2025,paired_vintage,25151,,,pair_3,natural_grape_must,measured_profile,recorded_nutrition,complete,workbook_and_co2_sensor,fermentation_model/data/Piloto 2025/Calibration_data_vl3.xlsx,Paired with 25150; CO2 sensor workbook is also present.
pilot_2025,paired_vintage,25170,,,pair_4,natural_grape_must,measured_profile,recorded_nutrition,complete,workbook_and_co2_sensor,fermentation_model/data/Piloto 2025/Calibration_data_vl3.xlsx,Paired with 25171; CO2 sensor workbook is also present.
pilot_2025,paired_vintage,25171,,,pair_4,natural_grape_must,measured_profile,recorded_nutrition,complete,workbook_and_co2_sensor,fermentation_model/data/Piloto 2025/Calibration_data_vl3.xlsx,Paired with 25170; CO2 sensor workbook is also present.
laboratory_2026,transferability_replication,ING26-LAB004,Lote_2,R-2L-01,condition_A_R3,natural_grape_must,18_to_21_to_16C,N2_pulse_48_to_60h_proxy,data_present_scope_unconfirmed,workbook_homologated,fermentation_model/data/Laboratorio 2026/mosto_natural_xthiol.xlsx,Homologue of pilot TK-04; execution date is undefined in Maestro_ensayos.
laboratory_2026,transferability_replication,ING26-LAB005,Lote_2,R-2L-02,condition_A_R4,natural_grape_must,18_to_21_to_16C,N2_pulse_48_to_60h_proxy,data_present_scope_unconfirmed,workbook_homologated,fermentation_model/data/Laboratorio 2026/mosto_natural_xthiol.xlsx,Homologue of pilot TK-05; execution date is undefined in Maestro_ensayos.
laboratory_2026,transferability_replication,ING26-LAB006,Lote_2,R-2L-03,condition_C_R1,natural_grape_must,16_to_18_to_21C,N2_pulse_60_to_72h_proxy,data_present_scope_unconfirmed,workbook_homologated,fermentation_model/data/Laboratorio 2026/mosto_natural_xthiol.xlsx,Homologue of pilot TK-06; execution date is undefined in Maestro_ensayos.
laboratory_2026,transferability_replication,ING26-LAB010,Mayo_T1,R-2L-01,condition_D_R1,natural_grape_must,15C_isothermal,no_automatic_nutrient_pulse,complete,workbook_homologated,fermentation_model/data/Laboratorio 2026/mosto_natural_xthiol.xlsx,Cold benchmark inoculated 2026-05-12.
laboratory_2026,transferability_replication,ING26-LAB011,Mayo_T1,R-2L-02,condition_E_R1,natural_grape_must,18C_24h_to_15C_48h_to_21C,recorded_nutrition,complete,workbook_homologated,fermentation_model/data/Laboratorio 2026/mosto_natural_xthiol.xlsx,Cold synthesis window followed by warm finish; inoculated 2026-05-12.
laboratory_2026,transferability_replication,ING26-LAB012,Mayo_T1,R-2L-03,condition_F_R1,natural_grape_must,15C_60h_to_18C_36h_to_21C,recorded_nutrition,complete,workbook_homologated,fermentation_model/data/Laboratorio 2026/mosto_natural_xthiol.xlsx,Cold start and intermediate ramp; inoculated 2026-05-12.
laboratory_2026,optimal_doe,DOE26-F01,DOE_Lote_1,F1,,synthetic_must,18_18_18_18C,high_initial_N,complete,raw_sensor_plus_y15_plus_oculyze,fermentation_model/data/Laboratorio 2026/DOE_Lote_1,Protocol synthetic_lit_SM410_18C_highN_ester.
laboratory_2026,optimal_doe,DOE26-F02,DOE_Lote_1,F2,,synthetic_must,16_18_20_18C,low_initial_N_high_biomass,complete,raw_sensor_plus_y15_plus_oculyze,fermentation_model/data/Laboratorio 2026/DOE_Lote_1,Protocol synthetic_high_biomass_low_N_maintenance.
laboratory_2026,optimal_doe,DOE26-F03,DOE_Lote_1,F3,,synthetic_must,17_20_23_20C,glucose_pulse_fructose_rich,complete,raw_sensor_plus_y15_plus_oculyze,fermentation_model/data/Laboratorio 2026/DOE_Lote_1,Protocol synthetic_fructose_rich_glucose_pulse.
laboratory_2026,optimal_doe,DOE26-F04,DOE_Lote_2,F1,,synthetic_must,17_20_23_20C,fructose_pulse_glucose_rich,complete,raw_co2_and_temperature_partial,fermentation_model/data/Laboratorio 2026/DOE_Lote_2,Protocol synthetic_glucose_rich_fructose_pulse; analytical exports are not yet present.
laboratory_2026,optimal_doe,DOE26-F05,DOE_Lote_2,F2,,synthetic_must,20_24_24_20C,high_initial_N,complete,raw_co2_and_temperature_partial,fermentation_model/data/Laboratorio 2026/DOE_Lote_2,Protocol synthetic_lit_SM410_24C_highN_strip; analytical exports are not yet present.
laboratory_2026,optimal_doe,DOE26-F06,DOE_Lote_2,F3,,synthetic_must,18_22_22_18C,viable_biomass_step,complete,raw_co2_and_temperature_partial,fermentation_model/data/Laboratorio 2026/DOE_Lote_2,Protocol synthetic_viable_biomass_step; analytical exports are not yet present.
laboratory_2026,optimal_doe,DOE26-F07,DOE_Lote_3,F1,,synthetic_must,18_20_20_18C,reference_nutrition,planned_or_in_progress,no_raw_folder,fermentation_model/data/Laboratorio 2026/DOE_Lote_3,Protocol synthetic_high_sugar_reference; scheduled start 2026-07-13.
laboratory_2026,optimal_doe,DOE26-F08,DOE_Lote_3,F2,,natural_grape_must,18_20_22_19C,glucose_pulse_after_growth,planned_or_in_progress,no_raw_folder,fermentation_model/data/Laboratorio 2026/DOE_Lote_3,Protocol natural_glucose_pulse_after_growth; scheduled start 2026-07-13.
laboratory_2026,optimal_doe,DOE26-F09,DOE_Lote_3,F3,,synthetic_must,20_24_24_20C,high_initial_N,planned_or_in_progress,no_raw_folder,fermentation_model/data/Laboratorio 2026/DOE_Lote_3,Protocol synthetic_fast_CO2_aroma_strip_highN; scheduled start 2026-07-13.
pilot_2026,parallel_profiles,26134,Lote 1,TK-31,A_R1,natural_grape_must,18_to_21_to_16C,constant_nutrition,complete,processed_qc_confirmed,fermentation_model/data/Piloto 2026/Lotes1a3/raw,Protocol A; mapping confirmed; Lot 1 condensates were not analyzed by GC.
pilot_2026,parallel_profiles,26135,Lote 1,TK-32,A_R2,natural_grape_must,18_to_21_to_16C,constant_nutrition,complete,processed_qc_confirmed,fermentation_model/data/Piloto 2026/Lotes1a3/raw,Protocol A; mapping confirmed; Lot 1 condensates were not analyzed by GC.
pilot_2026,parallel_profiles,26136,Lote 1,TK-33,B_R1,natural_grape_must,21_to_18_to_16C,constant_nutrition,complete,processed_qc_confirmed,fermentation_model/data/Piloto 2026/Lotes1a3/raw,Protocol B; mapping confirmed; one non-blocking Modbus gap is retained without imputation; Lot 1 condensates were not analyzed by GC.
pilot_2026,parallel_profiles,26157,Lote 2,TK-31,A_R3,natural_grape_must,18_to_21_to_16C,constant_nutrition,complete,processed_qc_confirmed,fermentation_model/data/Piloto 2026/Lotes1a3/raw,Protocol A; mapping and Lot 2 day/month correction confirmed.
pilot_2026,parallel_profiles,26158,Lote 2,TK-32,A_R4,natural_grape_must,18_to_21_to_16C,constant_nutrition,complete,processed_qc_confirmed,fermentation_model/data/Piloto 2026/Lotes1a3/raw,Protocol A; mapping and Lot 2 day/month correction confirmed.
pilot_2026,parallel_profiles,26159,Lote 2,TK-33,C_R1,natural_grape_must,16_to_18_to_21C,constant_nutrition,complete,processed_qc_confirmed,fermentation_model/data/Piloto 2026/Lotes1a3/raw,Protocol C confirmed at 16 to 18 to 21 C; the 21 C segment was not observed inside the calibration window.
pilot_2026,parallel_profiles,26210,Lote 3,TK-31,A_R5,natural_grape_must,18_to_21_to_16C,constant_nutrition,complete,processed_qc_confirmed,fermentation_model/data/Piloto 2026/Lotes1a3/raw,Protocol A; mapping confirmed.
pilot_2026,parallel_profiles,26211,Lote 3,TK-32,A_R6,natural_grape_must,18_to_21_to_16C,constant_nutrition,complete,processed_qc_confirmed,fermentation_model/data/Piloto 2026/Lotes1a3/raw,Protocol A; mapping confirmed.
pilot_2026,parallel_profiles,26212,Lote 3,TK-33,B_R2,natural_grape_must,21_to_18_to_16C,constant_nutrition,complete,processed_qc_confirmed,fermentation_model/data/Piloto 2026/Lotes1a3/raw,Protocol B; mapping confirmed.
